"region","infant_mortality","life_expectancy","maternal_mortality"
"Africa",39.5685185185185,67.0685185185185,292.12962962963
"Australia and Oceania",14.8428571428571,75.4928571428571,94.7142857142857
"Central America and the Caribbean",13.2238095238095,76.5428571428571,69.2380952380952
"Central Asia",17.1222222222222,73.8222222222222,18.1111111111111
"East and Southeast Asia",16.0764705882353,75.5823529411765,77.6470588235294
"Europe",4.01904761904762,80.1238095238095,7
"Middle East",12.93125,77.1625,22.9375
"North America",7.03333333333333,79.9,23.6666666666667
"South America",14.325,75.325,73.3333333333333
"South Asia",27.7125,71.125,138.75
