"country","infant_mortality","region"
"SOMALIA",81.5,"Africa"
"CENTRAL AFRICAN REPUBLIC",79.3,"Africa"
"EQUATORIAL GUINEA",76.9,"Africa"
"SIERRA LEONE",70.1,"Africa"
"NIGERIA",65.6,"Africa"
"NIGER",63,"Africa"
"CHAD",61.1,"Africa"
"SOUTH SUDAN",58.6,"Africa"
"MOZAMBIQUE",56.7,"Africa"
"MALI",55.8,"Africa"
"CONGO, DEMOCRATIC REPUBLIC OF THE",55.8,"Africa"
"LIBERIA",55.2,"Africa"
"COMOROS",53.9,"Africa"
"COTE D'IVOIRE",52.3,"Africa"
"LESOTHO",52.2,"Africa"
"BENIN",51.6,"Africa"
"PAKISTAN",50.3,"South Asia"
"BURKINA FASO",48,"Africa"
"ANGOLA",46.1,"Africa"
"GUINEA",45.8,"Africa"
"GUINEA-BISSAU",45.1,"Africa"
"CAMEROON",44.6,"Africa"
"DJIBOUTI",44.3,"Africa"
"YEMEN",42.4,"Middle East"
"AFGHANISTAN",42,"South Asia"
"TIMOR-LESTE",41.9,"East and Southeast Asia"
"SAO TOME AND PRINCIPE",41.7,"Africa"
"SUDAN",39.7,"Africa"
"ERITREA",39,"Africa"
"MADAGASCAR",38.4,"Africa"
"ESWATINI",38,"Africa"
"BURUNDI",35.3,"Africa"
"HAITI",35,"Central America and the Caribbean"
"GAMBIA, THE",35,"Africa"
"TURKMENISTAN",35,"Central Asia"
"TOGO",34.5,"Africa"
"LAOS",34.2,"East and Southeast Asia"
"ZIMBABWE",32.8,"Africa"
"PAPUA NEW GUINEA",31.3,"East and Southeast Asia"
"ETHIOPIA",31.3,"Africa"
"KIRIBATI",30.8,"Australia and Oceania"
"BURMA",30.8,"East and Southeast Asia"
"GHANA",30.5,"Africa"
"INDIA",30.5,"South Asia"
"SENEGAL",30.4,"Africa"
"ZAMBIA",30.1,"Africa"
"MAURITANIA",29.9,"Africa"
"CONGO, REPUBLIC OF THE",29.9,"Africa"
"SURINAME",29.3,"South America"
"MALAWI",28.9,"Africa"
"TANZANIA",28.4,"Africa"
"BOTSWANA",27.8,"Africa"
"UGANDA",27.5,"Africa"
"RWANDA",27.4,"Africa"
"CAMBODIA",27.2,"East and Southeast Asia"
"TUVALU",27.2,"Australia and Oceania"
"NAMIBIA",27.1,"Africa"
"KENYA",26.8,"Africa"
"GABON",26,"Africa"
"KYRGYZSTAN",24,"Central Asia"
"MALDIVES",23.7,"South Asia"
"GUATEMALA",23.4,"Central America and the Caribbean"
"NEPAL",23.4,"South Asia"
"BHUTAN",23,"South Asia"
"BOLIVIA",22.1,"South America"
"BANGLADESH",22,"South Asia"
"CABO VERDE",21.9,"Africa"
"PARAGUAY",21.4,"South America"
"KOSOVO",21,"Europe"
"GEORGIA",20.9,"Central Asia"
"DOMINICAN REPUBLIC",20.8,"Central America and the Caribbean"
"GUYANA",20.6,"South America"
"MICRONESIA, FEDERATED STATES OF",20.4,"Australia and Oceania"
"TAJIKISTAN",20.3,"Central Asia"
"MARSHALL ISLANDS",20.1,"Australia and Oceania"
"SOUTH AFRICA",19.7,"Africa"
"SOLOMON ISLANDS",18.6,"Australia and Oceania"
"ALGERIA",18.6,"Africa"
"INDONESIA",18.5,"East and Southeast Asia"
"PHILIPPINES",18.5,"East and Southeast Asia"
"IRAQ",18.3,"Middle East"
"TURKEY (TURKIYE)",17.9,"Middle East"
"MOROCCO",17.8,"Africa"
"UZBEKISTAN",17.6,"Central Asia"
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",17.5,"Africa"
"SAMOA",17.2,"Australia and Oceania"
"EGYPT",16.4,"Africa"
"HONDURAS",15.4,"Central America and the Caribbean"
"BARBADOS",15.1,"Central America and the Caribbean"
"COOK ISLANDS",14.8,"Australia and Oceania"
"KOREA, NORTH",14.7,"East and Southeast Asia"
